predictor,outcome,PPMC,pval,PPMC_abs
MW_15-18_4_AnsVal,SF-36_23,0.4118903544,9.29664560120656E-030,0.4118903544
PHQ_2A-D_4_AnsVal,SF-36_26,0.4113280525,9.36305651467232E-030,0.4113280525
PHQ_2A-D_3_AnsVal,SF-36_23,0.4107678888,1.24688318924898E-029,0.4107678888
SP_61_AnsVal,SF-36_18,0.4101597503,1.53701129279865E-029,0.4101597503
FSI_14,SF-36_36,0.410150301,1.40534055155288E-029,0.410150301
RH_M_9G_L_6_AnsVal,SF-36_13,0.4100417003,0.0028052952,0.4100417003
GAD7_5F,SF-36_30,0.4100382606,1.213278818966E-029,0.4100382606
GAD7_5G,SF-36_30,0.4097923484,5.29976732726179E-029,0.4097923484
RH_M_9G_L_6_AnsVal,SF-36_14,0.4087812833,0.0028992536,0.4087812833
SF-36_32,SF-36_5,0.4085057756,1.71023851964562E-029,0.4085057756
MW_11-14_3_AnsVal,SF-36_26,0.4083413229,3.77558460536779E-029,0.4083413229
MW_15-18_3_AnsVal,SF-36_26,0.4077731484,3.47868736748385E-029,0.4077731484
MW_59,SF-36_27,0.4075790841,2.35153902176473E-029,0.4075790841
FSI_5-8_4_AnsText,SF-36_30,0.4075133114,3.468331736039E-029,0.4075133114
SF-36_8,SF-36_14,0.4070598435,2.5645234770831E-029,0.4070598435
FSI_9-11_3_AnsText,SF-36_36,0.4059375903,7.78258299687798E-029,0.4059375903
SF-36_8,SF-36_13,0.4049785123,5.71659070617339E-029,0.4049785123
CTXD_50-54_4_AnsVal,SF-36_36,0.4043917317,8.35371361053228E-029,0.4043917317
MW_19-23_3_AnsVal,SF-36_27,0.4041807047,2.0149014627413E-028,0.4041807047
PHQ_2A-D_3_AnsVal,SF-36_26,0.4036814062,1.16169106439566E-028,0.4036814062
BPI_A-D_2_AnsText,SF-36_30,0.4032495832,2.46908299688212E-012,0.4032495832
PHQ_2A-D_4_AnsVal,SF-36_30,0.4023164068,2.19676195998575E-028,0.4023164068
MJM_3C_3-5_1_AnsVal,SF-36_27,0.4021923451,2.59172942168277E-019,0.4021923451
MW_19-23_4_AnsVal,SF-36_26,0.4014508804,2.93342876380231E-028,0.4014508804
DIET_27_32_6_AnsVal,SF-36_28,0.4013805353,3.28112339064077E-028,0.4013805353
MW_11-14_2_AnsVal,SF-36_30,0.4012716978,3.40222388947281E-028,0.4012716978
CTXD_24-28_5_AnsVal,SF-36_26,0.4012380066,2.88258596759157E-028,0.4012380066
FSI_5-8_3_AnsText,SF-36_36,0.4011536926,4.61371951599169E-028,0.4011536926
RH_M_9G_L_6_AnsVal,SF-36_4,0.4011288783,0.0035317717,0.4011288783
GH_69-71_4,SF-36_7,0.400570695,2.76420084326875E-028,0.400570695
MW_7-10_4_AnsVal,SF-36_30,0.3988462335,9.8815682923501E-028,0.3988462335
SF-36_21,SF-36_27,0.398680292,4.36061317676513E-028,0.398680292
CTXD_50-54_5_AnsVal,SF-36_27,0.3969465285,1.42093686563331E-027,0.3969465285
RH_M_9G_L_6_AnsVal,SF-36_25,0.3967158996,0.0039493332,0.3967158996
CTXD_50-54_2_AnsVal,SF-36_26,0.3965017783,2.12935219057448E-027,0.3965017783
FSI_9-11_1_AnsText,SF-36_30,0.3963538286,1.58312695855889E-027,0.3963538286
GH_M_60-64_6,SF-36_9,0.395953098,3.11495491244996E-007,0.395953098
SF-36_22,SF-36_27,0.3959096924,1.19143104709066E-027,0.3959096924
RH_M_9G_L_6_AnsVal,SF-36_28,0.3958182405,0.0040393977,0.3958182405
